user_id,car_id,rating
1,120,5
2,120,4
2,120,5
2,120,5
2,120,3
2,120,4
2,120,3
2,120,4
2,120,5
2,120,5
2,120,5
2,120,5
4,120,4
4,120,3
4,120,4
4,120,5
4,120,5
4,120,5
4,120,5
4,120,5
4,120,5
4,120,4
4,120,5
4,120,2
4,120,5
4,120,3
4,120,4
4,120,3
4,120,4
4,120,4
4,120,3
4,120,3
4,120,2
4,120,4
4,120,4
4,120,4
4,120,4
4,120,4
4,120,4
4,120,4
4,120,4
4,120,5
4,120,3
6,120,4
8,120,5
8,120,3
8,120,4
8,120,5
8,120,4
8,120,4
8,120,5
8,120,5
8,120,4
8,120,5
8,120,5
8,120,5
8,120,4
8,120,5
8,120,3
8,120,5
8,120,5
8,120,3
8,120,5
8,120,5
4,120,5
4,120,2
4,120,5
4,120,5
4,120,4
4,120,4
4,120,4
4,120,3
4,120,5
4,120,3
4,120,4
1,120,3
1,120,3
1,120,3
1,120,5
1,120,3
1,120,3
1,120,3
4,120,3
4,120,4
4,120,5
4,120,4
4,120,4
4,120,4
4,120,3
4,120,3
4,120,5
4,120,4
4,120,4
4,120,4
4,120,4
4,120,4
4,120,3
4,120,4
4,120,4
4,120,4
4,120,4
4,120,5
4,120,4
4,120,3
4,120,3
4,120,3
4,120,3
9,120,3
9,120,4
9,120,5
9,120,4
9,120,4
9,120,5
9,120,4
9,120,4
9,120,5
9,120,4
9,120,4
9,120,3
9,120,2
9,120,1
9,120,1
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,5
9,120,4
9,120,4
9,120,4
9,120,4
9,120,4
9,120,4
9,120,4
9,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,4
11,120,3
11,120,3
11,120,5
11,120,3
11,120,4
11,120,5
11,120,5
11,120,4
11,120,3
11,120,4
11,120,3
11,120,3
11,120,4
11,120,4
8,120,5
11,120,4
15,120,5
15,120,4
15,120,4
15,120,5
15,120,3
15,120,4
15,120,5
15,120,4
15,120,4
15,120,3
15,120,5
15,120,4
15,120,5
15,120,3
15,120,4
15,120,4
15,120,5
15,120,5
15,120,4
15,120,5
15,120,5
15,120,5
15,120,5
15,120,3
15,120,5
15,120,5
15,120,5
15,120,4
15,120,5
15,120,5
15,120,4
15,120,3
15,120,5
15,120,5
15,120,4
15,120,4
15,120,4
15,120,5
15,120,5
15,120,4
15,120,4
15,120,5
15,120,4
15,120,4
15,120,5
15,120,4
15,120,4
15,120,4
15,120,5
15,120,5
15,120,5
15,120,4
15,120,4
15,120,5
15,120,5
15,120,4
15,120,4
15,120,5
15,120,3
15,120,4
15,120,5
15,120,5
18,120,4
18,120,3
18,120,4
18,120,4
18,120,2
18,120,4
18,120,2
18,120,3
18,120,4
18,120,3
18,120,4
18,120,4
18,120,4
18,120,5
4,120,2
4,120,4
4,120,3
4,120,4
4,120,4
4,120,3
4,120,4
4,120,5
4,120,4
4,120,3
4,120,3
4,120,5
4,120,4
4,120,5
4,120,4
4,120,4
4,120,4
4,120,5
18,120,4
18,120,5
18,120,2
18,120,4
18,120,4
18,120,4
18,120,4
18,120,3
18,120,4
18,120,4
18,120,5
18,120,4
18,120,4
18,120,4
18,120,5
18,120,5
22,120,2
22,120,4
22,120,5
18,120,4
8,120,3
24,120,4
24,120,4
24,120,4
24,120,4
24,120,5
24,120,4
24,120,4
24,120,5
24,120,5
24,120,4
24,120,5
24,120,3
24,120,4
24,120,4
24,120,5
24,120,4
24,120,4
24,120,3
24,120,4
24,120,4
24,120,4
24,120,4
24,120,5
24,120,3
24,120,4
24,120,5
24,120,5
22,120,3
22,120,4
22,120,4
22,120,5
22,120,5
22,120,4
22,120,2
22,120,4
22,120,4
22,120,4
22,120,4
22,120,4
22,120,2
22,130,3
22,130,5
22,130,2
22,130,5
22,130,2
22,130,5
22,130,2
22,130,2
22,130,3
22,130,5
22,130,4
18,130,5
25,130,4
25,130,4
25,130,5
25,130,4
25,130,4
25,130,5
25,130,5
25,130,4
25,130,4
25,130,5
25,130,5
25,130,5
25,120,4
25,120,4
25,120,4
25,120,5
25,120,5
25,120,5
25,120,4
24,120,3
24,120,3
24,120,2
24,120,4
24,120,3
24,120,3
24,120,2
24,120,3
24,120,4
22,120,3
22,120,3
28,120,4
28,120,5
24,130,3
